,hit_id,query_id,biosample_id,closest_ref,distance,SRM_present,single_ref,closest_single_ref
0,OYVD01.1117.1_2/1-80,OYVD01,SAMN06165452,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3']",,True,False,NA
1,UEPQ01.62.1_13/64-437,UEPQ01,SAMN06115483,['Bilophila_wadsworthia__BilWads6'],1.43512333119087e-06,True,True,Bilophila_wadsworthia__BilWads6
2,UEPQ01.62.1_14/11-266,UEPQ01,SAMN06115483,['Bilophila_wadsworthia__BilWads6'],1.43512333119087e-06,True,True,Bilophila_wadsworthia__BilWads6
3,OQDE01.41009.1_2/1-77,OQDE01,SAMD00036307,"['Bilophila_sp._4_1_30__BilSpec3', 'Bilophila_wadsworthia__BilWads6']",,True,False,NA
4,OWXA01.5389.1_2/11-266,OWXA01,SAMN05827029,['uncultured_bacterium__EF645667'],0.1585456042482226,True,True,uncultured_bacterium__EF645667
5,OWXA01.5389.1_1/97-239,OWXA01,SAMN05827029,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.075350417841511,True,False,NA
6,OYPH01.2748.1_1/63-178,OYPH01,SAMN06165653,"['Desulfovibrio_sp._3_1_syn3__DsvSp230', 'uncultured_bacterium__EF645667', 'Desulfovibrio_sp._6_1_46AFAA__DsvSp231']",,True,False,NA
7,UPFD01.8591.1_2/63-436,UPFD01,SAMEA2737666,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.0140903632751218,True,False,NA
8,UPFD01.8591.1_3/11-266,UPFD01,SAMEA2737666,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.0577703632751218,True,False,NA
9,UPMZ01.5950.1_5/51-395,UPMZ01,SAMEA2737808,['Gordonibacter_pamelaeae_7-10-1-b__FP929047'],0.0075933527480936,True,True,Gordonibacter_pamelaeae_7-10-1-b__FP929047
10,UPMZ01.5950.1_6/3-237,UPMZ01,SAMEA2737808,['Gordonibacter_pamelaeae__GrdPame5'],0.0033742607019146,True,True,Gordonibacter_pamelaeae__GrdPame5
11,UPMZ01.79208.1_1/11-136,UPMZ01,SAMEA2737808,"['Bilophila_sp._4_1_30__BilSpec3', 'Bilophila_wadsworthia__BilWads6']",,True,False,NA
12,UPMZ01.44144.1_1/64-137,UPMZ01,SAMEA2737808,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3', 'uncultured_bacterium__EF645667', 'Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",,True,False,NA
13,ORSC01.82376.1_1/1-172,ORSC01,SAMEA2338681,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],,True,True,Anaerobic_bacterium_sk.prop8__Bv2Prop2
14,OYMM01.161.1_3/65-438,OYMM01,SAMN06165493,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.0140253632751218,True,False,NA
15,OYMM01.161.1_2/11-266,OYMM01,SAMN06165493,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.055882417841511,True,False,NA
16,OYMM01.4356.1_1/53-210,OYMM01,SAMN06165493,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3', 'uncultured_bacterium__EF645667', 'Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",,True,False,NA
17,OYMM01.4732.1_1/11-160,OYMM01,SAMN06165493,"['Bilophila_sp._4_1_30__BilSpec3', 'Bilophila_wadsworthia__BilWads6']",,True,False,NA
18,UEYD01.35306.1_1/33-281,UEYD01,SAMN06115506,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3']",,True,False,NA
19,OPSF01.12557.1_1/64-428,OPSF01,SAMEA2042111,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.060568417841511,True,False,NA
20,QWCE01.3417.1_7/64-437,QWCE01,SAMN09866716,['Bilophila_wadsworthia__BilWads6'],1.43512333119087e-06,True,True,Bilophila_wadsworthia__BilWads6
21,QWCE01.34300.1_2/44-392,QWCE01,SAMN09866716,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.2876309842397784,True,True,Anaerobic_bacterium_sk.prop8__Bv2Prop2
22,QWCE01.3417.1_6/11-266,QWCE01,SAMN09866716,['Bilophila_wadsworthia__BilWads6'],1.43512333119087e-06,True,True,Bilophila_wadsworthia__BilWads6
23,QWCE01.148739.1_1/3-193,QWCE01,SAMN09866716,['Gordonibacter_pamelaeae__GrdPame5'],0.2772393767151715,True,True,Gordonibacter_pamelaeae__GrdPame5
24,QWCE01.143185.1_1/1-188,QWCE01,SAMN09866716,['Gordonibacter_pamelaeae__GrdPame5'],0.3797953767151715,True,True,Gordonibacter_pamelaeae__GrdPame5
25,QWCE01.34300.1_3/4-136,QWCE01,SAMN09866716,['Thermodesulfobium_narugense__CP002690'],1.87478437740652,True,True,Thermodesulfobium_narugense__CP002690
26,OWCY01.6912.1_3/63-436,OWCY01,SAMEA3708620,['Desulfovibrio_piger__DslPige2'],0.021585189917109,True,True,Desulfovibrio_piger__DslPige2
27,OWCY01.6912.1_2/11-266,OWCY01,SAMEA3708620,['Desulfovibrio_piger__DslPige3'],0.0296033632751218,True,True,Desulfovibrio_piger__DslPige3
28,OWCY01.44532.1_1/11-266,OWCY01,SAMEA3708620,['Bilophila_wadsworthia__BilWads6'],1.43512333119087e-06,True,True,Bilophila_wadsworthia__BilWads6
29,ORRJ01.13417.1_2/63-436,ORRJ01,SAMEA2338649,['Desulfovibrio_piger__DslPige3'],0.0263433632751218,True,True,Desulfovibrio_piger__DslPige3
30,ORRJ01.22585.1_1/1-245,ORRJ01,SAMEA2338649,['Bilophila_wadsworthia__BilWads6'],0.1327469641950127,True,True,Bilophila_wadsworthia__BilWads6
31,UERO01.20183.1_1/64-437,UERO01,SAMN06115397,['Bilophila_wadsworthia__BilWads6'],1.43512333119087e-06,True,True,Bilophila_wadsworthia__BilWads6
32,UERO01.11922.1_1/1-118,UERO01,SAMN06115397,['Bilophila_wadsworthia__BilWads6'],0.1222409641950127,True,True,Bilophila_wadsworthia__BilWads6
33,UERO01.20183.1_2/11-91,UERO01,SAMN06115397,['Bilophila_wadsworthia__BilWads6'],0.2852109641950128,True,True,Bilophila_wadsworthia__BilWads6
34,OPAP01.30399.1_1/1-90,OPAP01,SAMEA1967055,"['Bilophila_wadsworthia__BilWads6', 'Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",,True,False,NA
35,OURY01.49778.1_1/1-252,OURY01,SAMEA2338638,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.1658489842397786,True,True,Anaerobic_bacterium_sk.prop8__Bv2Prop2
36,OYXC01.9658.1_1/11-266,OYXC01,SAMN06165016,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.0389673632751218,True,False,NA
37,OYXC01.9658.1_2/1-228,OYXC01,SAMN06165016,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",,True,False,NA
38,USZA01.13236.1_3/38-305,USZA01,SAMN06112073,['Bilophila_wadsworthia__BilWads6'],0.1470769641950127,True,True,Bilophila_wadsworthia__BilWads6
39,USZA01.18536.1_1/63-204,USZA01,SAMN06112073,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4', 'Bilophila_wadsworthia__BilWads6']",,True,False,NA
40,USZA01.41154.1_2/6-173,USZA01,SAMN06112073,['Desulfitibacter_alkalitolerans__DfiAlka2'],1.188539796485779,True,True,Desulfitibacter_alkalitolerans__DfiAlka2
41,USZA01.16685.1_1/1-148,USZA01,SAMN06112073,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",,True,False,NA
42,USZA01.41154.1_1/3-156,USZA01,SAMN06112073,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],,True,True,Anaerobic_bacterium_sk.prop8__Bv2Prop2
43,USZA01.130730.1_2/1-109,USZA01,SAMN06112073,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.0482329842397786,True,True,Anaerobic_bacterium_sk.prop8__Bv2Prop2
44,UZLQ01.611.1_10/64-437,UZLQ01,SAMN00715227,['Bilophila_wadsworthia__BilWads6'],1.43512333119087e-06,True,True,Bilophila_wadsworthia__BilWads6
45,UZLQ01.611.1_9/1-253,UZLQ01,SAMN00715227,['Bilophila_wadsworthia__BilWads6'],1.43512333119087e-06,True,True,Bilophila_wadsworthia__BilWads6
46,UPRH01.19723.1_1/11-266,UPRH01,SAMEA2737760,['Bilophila_wadsworthia__BilWads6'],1.43512333119087e-06,True,True,Bilophila_wadsworthia__BilWads6
47,UPMW01.3186.1_8/63-436,UPMW01,SAMEA2737879,['uncultured_bacterium__EF645667'],0.0856336056413982,True,True,uncultured_bacterium__EF645667
48,UPMW01.3186.1_7/11-266,UPMW01,SAMEA2737879,['uncultured_bacterium__EF645667'],0.1434117223111753,True,True,uncultured_bacterium__EF645667
49,OYQB01.459.1_1/46-393,OYQB01,SAMN06165467,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.1170079842397789,True,True,Anaerobic_bacterium_sk.prop8__Bv2Prop2
50,OYQB01.459.1_2/7-240,OYQB01,SAMN06165467,['Desulfitibacter_alkalitolerans__DfiAlka2'],0.9083087964857786,True,True,Desulfitibacter_alkalitolerans__DfiAlka2
