sample_id,merged_project_accession
SAMEA5278440,PRJEB31003
SAMEA5842930,PRJEB33779
SAMEA5851465,PRJEB33885
SAMN00265066,
SAMN00265067,
SAMN00265068,
SAMN00265069,
SAMN00265070,
SAMN00265071,
SAMN00265072,
SAMN00265073,
SAMN00849301,
SAMN00849303,
SAMN08783862,PRJNA514245
SAMN08783867,PRJNA514245
SAMN08783986,PRJNA278886
SAMN08783988,PRJNA278886
SAMN08784014,PRJNA278886
SAMN08784018,PRJNA278886
SAMN08788742,PRJNA514245
SAMN08797078,PRJNA287560
SAMN08798488,PRJNA445766
SAMN08798496,PRJNA445766
SAMN08803866,PRJNA445939
SAMN08813883,PRJNA278886
SAMN08813884,PRJNA278886
SAMN08813893,PRJNA278886
SAMN08813899,PRJNA278886
SAMN08813901,PRJNA278886
SAMN08813907,PRJNA278886
SAMN08813911,PRJNA278886
SAMN08885849,PRJNA278886
SAMN08885862,PRJNA278886
SAMN08885863,PRJNA278886
SAMN08885868,PRJNA278886
SAMN08885869,PRJNA278886
SAMN08885875,PRJNA278886
SAMN08885876,PRJNA278886
SAMN08936559,PRJNA378379
SAMN08936567,PRJNA378379
SAMN08936578,PRJNA378379
SAMN08936709,PRJNA378379
SAMN08957704,PRJNA451079
SAMN08963296,PRJNA451179
SAMN08968793,PRJNA451351
SAMN08981270,PRJNA449871
SAMN08981271,PRJNA449871
SAMN08993941,PRJNA278886
SAMN08993947,PRJNA278886
SAMN08993949,PRJNA278886
SAMN08993976,PRJNA278886
SAMN08999415,PRJNA449871
SAMN09060477,PRJNA278886
SAMN09060485,PRJNA278886
SAMN09060494,PRJNA278886
SAMN09060497,PRJNA278886
SAMN09060501,PRJNA278886
SAMN09060515,PRJNA278886
SAMN09060516,PRJNA278887
SAMN09060520,PRJNA278891
SAMN09062251,PRJNA434731
SAMN09062255,PRJNA434731
SAMN09074402,PRJNA284276
SAMN09074519,PRJNA284276
SAMN09080915,PRJNA464303
SAMN09080916,PRJNA464303
SAMN09080919,PRJNA464303
SAMN09097257,PRJNA470577
