"","Bilophila_wadsworthia__BilWads6","Bilophila_sp._4_1_30__BilSpec3","uncultured_bacterium__EF645667","Anaerobic_bacterium_sk.prop8__Bv2Prop2","Desulfitibacter_alkalitolerans__DfiAlka2","Gordonibacter_pamelaeae_7.10.1.b__FP929047","Gordonibacter_pamelaeae__GrdPame5","Desulfovibrio_piger__DslPige3","MSW_digester_clone__Unc01cxc","Desulfovibrio_vulgaris__DQ826729","Bioreactor_clone__UncS2029","Pearl_river_estuary_clone_TopDSR14__UncS2036","Desulfovibrio_desulfuricans__DslDes16_DsvAlas8","Thermodesulfobium_narugense__CP002690","Desulfovibrio_sp._3_1_syn3__DsvSp230","Desulfovibrio_sp._6_1_46AFAA__DsvSp231","Desulfovibrio_desulfuricans_subsp._desulfuricans_str._ATCC_27774__CP001358","Desulfovibrio_sp._Dsv1__DsvSp233","Anaerobic_bacterium_EtOH8__Bv2EtOH2","Desulfosporosinus_youngiae__DfpYoun5","Termite_protist_endosymbiont_community_metagenome__entry118","Desulfovibrio_piger__DslPige2","Desulfovibrio_piger__DslPige4","Desulfitobacterium_sp._PCE.1__DstSpe13","Deep_sea_sediment_clone__JN798931","uncultured_bacterium__EF645666","Archaeoglobus_sulfaticallidus__ArgSulfa","Desulfovibrio_desulfuricans__DslDes17","Desulfovibrio_desulfuricans__DslDes24","Polluted_aquifer_clone__UncS1623","Candidatus_Desulfovibrio_trichonymphae","uncultured_bacterium__EF645664","Desulfovibrio_desulfuricans__DQ092635","Desulfovibrio_carbinoliphilus__JQ031012","Desulfovibrio_gigas__DsvGiga4","bacterium_LSBA132__DQ211839","Desulfovibrio_intestinalis__DslInte4","Aarhus_bay_sediment_clone_DSRII2__Bv6AaB12","New_York_peatland_soil_clone_W20__UncSu782","Alkalilimnicola_ehrlichei_MLHE1__AkmEhrl3","Caldiserica_bacterium__Cl9Bacte","Desulfovibrio_desulfuricans__DslDes13","Desulfovibrio_vulgaris_oxamicus__DslVulg9","Bioreactor_clone__UncS2016","Desulfotomaculum_hydrothermale__DscHydr2","Desulfovibrio_oceani__FJ655911","Desulfovibrio_gabonensis__DslGabo2","uncultured_bacterium__EF645665","Desulfovibrio_simplex__DslSimpl","Bioreactor_clone__UncS2028","Desulfitobacterium_hafniense_Y51__DsfHaf15","Arctic_sediment_clone_AH5_5__AtcSed67","Polluted_aquifer_clone_LGWK16__UncS1633","Rice_field_soil_clone_Bu.23__JN615148"
"SAMD00036194",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD00036377",1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD00036381",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD00036386",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD00036398",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD00036402",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD00036432",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD00036524",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMEA103958109",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMEA103958111",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
